"DT_VENDA","CD_PRODUTO","DS_PRODUTO","UND_MED","QTD_SAIDA"
23/04/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",79
19/05/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",105
29/05/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",99
22/05/24 00:00:00,"367","PAO FRANCES","KG",261
07/04/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",80
25/04/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",18
19/04/24 00:00:00,"367","PAO FRANCES","KG",330
03/04/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",26
12/04/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",29
17/04/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",220
25/05/24 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",258
16/05/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",11
08/05/24 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",92
22/05/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",58
05/05/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",19
29/11/24 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",148
11/11/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",97
23/11/24 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",154
09/09/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",76
05/11/24 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",54
09/11/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",658
22/06/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",46
18/06/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",69
28/06/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",35
13/06/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",147
04/06/24 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",43
18/06/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",45
02/06/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",109
17/06/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",174
17/06/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",65
21/06/24 00:00:00,"367","PAO FRANCES","KG",365
04/06/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",169
23/06/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",14
07/08/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",108
05/08/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",170
14/08/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",70
17/08/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",99
29/08/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",118
23/08/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",180
30/08/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",29
08/08/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",128
22/08/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",99
18/07/24 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",169
14/07/24 00:00:00,"367","PAO FRANCES","KG",178
09/07/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",127
25/07/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",136
27/08/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",130
08/08/24 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",101
10/08/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",533
06/08/24 00:00:00,"367","PAO FRANCES","KG",285
15/08/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",109
02/08/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",130
28/08/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",116
29/08/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",156
13/08/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",229
30/08/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",255
15/08/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",125
07/08/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",280
29/08/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",296
24/07/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",96
22/07/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",214
15/07/24 00:00:00,"367","PAO FRANCES","KG",295
31/07/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",28
23/07/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",42
16/07/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",175
11/07/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",158
17/07/24 00:00:00,"367","PAO FRANCES","KG",243
09/07/24 00:00:00,"367","PAO FRANCES","KG",274
08/07/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",237
22/07/24 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",159
22/07/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",60
19/07/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",363
21/06/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",162
21/07/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",115
19/07/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",130
19/07/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",69
08/07/24 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",47
28/06/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",40
16/06/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",15
06/06/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",337
14/06/24 00:00:00,"367","PAO FRANCES","KG",315
04/06/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",85
10/06/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",233
01/06/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",34
27/07/24 00:00:00,"367","PAO FRANCES","KG",329
14/07/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",116
02/07/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",183
07/08/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",418
